"Infiltration","Cultivar","Seed_treatment","Tillage_type","Numb_weeding","Numb_postHarv_herb","Numb_rastreo","Numb_preSow_herb","Numb_fertilizations","Numb_applic_foliar","Numb_applic_biofer","Num_postSow_herb","Numb_insecticides","Total_nitrogen","Total_phosphorus","Total_potassium","Clay","Silt","OM","CEC","Basis_saturation","Avg_min_temp","Avg_diurn_range","Acc_sol_energy","Freq_days_maxTemp_34","Acc_precipitation","Freq_days_minTemp_8","Avg_relative_humidiy","SD_relative_humidiy","Yield"
"D4","OTRAS","S1","LabCeroMin",0,0,1,1,2,0,1,3,2,187.6653,0,0,28,20,0.820993804,16.16617467,76.60158586,19.39888889,11.53847953,76817.73,0,2.8,0,85.85602339,3.655242083,7
"D2","OTRAS","S0","AgrCons",0,0,0,1,2,0,0,1,1,101.68,0,0,44,20,1.019558155,32.35618467,91.24216594,19.07682796,11.87806452,83266.59,0,2.8,0,85.44317204,3.832182519,6.2
"D4","OTRAS","S0","LabConvTra",0,0,1,1,2,0,1,2,1,147,23,0,28,20,0.820993804,16.16617467,76.60158586,19.50568729,11.36212041,69145.69572,0.018518519,598.59,0,81.15268238,4.657266545,2
"D2","OTRAS","S0","LabConvTra",0,0,0,1,3,0,0,1,1,148.9,46,30,44,20,1.019558155,32.35618467,91.24216594,14.484,10.42685714,83290.96,0,561.1,0,82.87371429,4.986175305,3.2
"D2","OTRAS","S0","LabCeroMin",0,0,0,1,3,0,0,1,1,148.9,46,30,44,20,1.019558155,32.35618467,91.24216594,14.484,10.42685714,83290.96,0,561.1,0,82.87371429,4.986175305,3.5
"D4","OTRAS","S1","AgrCons",0,0,0,0,2,0,1,3,0,112.75,0,0,26,26,1.175022481,18.15067472,83.421327,18.533375,12.1955,70144.53,0.00625,2.6,0,85.080375,4.417190104,0.02
"D4","OTRAS","S1","LabConvTra",0,0,0,1,2,0,0,2,2,76.75,0,48,17,27,1.639947917,14.93588542,58.11372396,19.79744828,11.51006897,66731.66,0,2.8,0,86.00324138,3.525871816,5.32
"D4","OTRAS","S1","AgrCons",0,0,0,1,2,0,1,2,2,87,46,0,17,27,1.639947917,14.93588542,58.11372396,19.79680556,11.49895833,66223.05,0,2.8,0,86.046875,3.498672969,6.09
"D4","OTRAS","S1","LabConvTra",0,0,0,1,2,0,0,2,1,120.25,0,0,26,26,1.175022481,18.15067472,83.421327,19.7475,11.50371622,67980.33,0,2.8,0,85.96945946,3.484350784,5.81
"D4","OTRAS","S1","AgrCons",0,0,0,1,2,0,1,2,1,64,46,0,26,26,1.175022481,18.15067472,83.421327,19.7475,11.50371622,67980.33,0,2.8,0,85.96945946,3.484350784,5.65
"D4","OTRAS","S1","LabConvTra",0,0,0,1,2,0,0,3,1,69,0,0,26,26,1.175022481,18.15067472,83.421327,19.75007463,11.51432836,61732.22,0,2.6,0,86.1230597,3.563479593,5.11
"D4","OTRAS","S1","AgrCons",0,0,0,1,1,0,1,3,1,34.5,0,0,26,26,1.175022481,18.15067472,83.421327,19.75007463,11.51432836,61732.22,0,2.6,0,86.1230597,3.563479593,4.98
"D2","OTRAS","S1","LabConvTra",0,0,0,1,2,0,0,2,1,181,6,0,44,20,1.019558155,32.35618467,91.24216594,19.77733333,11.4932,69078.07,0,2.8,0,85.93393333,3.602382488,5.02
"D2","OTRAS","S1","AgrCons",0,0,0,1,2,0,1,2,1,181,6,0,44,20,1.019558155,32.35618467,91.24216594,19.77733333,11.4932,69078.07,0,2.8,0,85.93393333,3.602382488,5.02
"D4","OTRAS","S0","AgrCons",0,0,0,2,2,0,1,1,0,41,0,0,17,27,1.639947917,14.93588542,58.11372396,19.00747967,11.49162602,53406.43,0,2.4,0,86.43235772,3.595166628,4
"D4","OTRAS","S1","AgrCons",0,0,0,0,2,0,1,3,0,112.75,0,0,26,26,1.175022481,18.15067472,83.421327,18.533375,12.1955,70144.53,0.00625,2.6,0,85.080375,4.417190104,3.5
"D4","OTRAS","S0","AgrCons",0,0,0,2,2,0,0,1,1,123,0,0,26,26,1.175022481,18.15067472,83.421327,19.05792308,11.52553846,57245.89,0,2.6,0,86.23638462,3.653416582,5
"D4","OTRAS","S0","LabConvTra",0,0,0,1,1,0,0,1,0,45,115,0,22,22,1.167548805,22.4036886,94.37760732,17.0627027,13.49567568,65444.54827,0.032432432,351.2,0,77.81227027,7.181806439,3.7
"D4","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,1,1,115,0,0,30,26,9.0025,41.59819444,81.60180556,17.81956522,12.33695652,69508.68356,0.005434783,2383.4,0,74.30880435,9.614299669,2.8
"D4","CRIOLLO","S0","AgrCons",0,0,0,1,2,0,0,1,1,184,0,0,30,26,9.0025,41.59819444,81.60180556,17.97486034,12.17765363,67483.61356,0.005586592,2383.4,0,74.67284916,9.476959477,4
"D4","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,1,1,92,0,0,30,26,9.0025,41.59819444,81.60180556,17.61242604,12.57159763,64869.50356,0.00591716,1896,0,73.78715976,9.741766193,2
"D4","CRIOLLO","S0","AgrCons",0,0,0,1,2,1,0,1,1,115,0,0,30,26,9.0025,41.59819444,81.60180556,18.10325086,12.0931876,68233.76227,0.005555556,2508.8,0,74.91444419,9.273234038,3.5
"D4","CRIOLLO","S0","LabCeroMin",0,0,0,1,1,1,0,1,0,50.3647,0.08,0.06,22,22,1.167548805,22.4036886,94.37760732,18.47178513,9.561283824,48932.52038,0,1550.2,0,82.68842678,4.128907276,2.2
"D4","CRIOLLO","S0","LabConvTra",1,0,0,1,1,0,0,1,0,24,24,24,21,25,0.971386385,19.30618019,85.36964401,17.18205128,13.37487179,68502.34827,0.030769231,402.4,0,77.97933333,7.194503419,4
"D4","CRIOLLO","S1","LabCeroMin",0,0,0,1,1,0,0,2,1,92,0,0,29,22,2.958520648,27.59935301,84.78686529,18.69902315,8.981259198,48205.76964,0,1501.8,0,88.25325139,6.985407924,0.9
"D4","CRIOLLO","S1","LabCeroMin",0,0,0,1,2,0,0,1,3,161,0,0,29,22,2.958520648,27.59935301,84.78686529,18.69902315,8.981259198,48205.76964,0,1501.8,0,88.25325139,6.985407924,1.5
"D4","CRIOLLO","S0","LabCeroMin",0,0,0,1,2,0,0,2,3,193,23,0,29,22,2.958520648,27.59935301,84.78686529,18.55895425,8.910473355,59752.50396,0,2005.4,0,88.11036962,6.712825248,1.3
"D4","CRIOLLO","S0","LabConvTra",1,0,0,1,1,0,0,0,1,63,17,17,29,22,2.958520648,27.59935301,84.78686529,14.91282051,10.37051282,75322.73,0,607.3,0,82.99596154,5.187780155,3
"D4","CRIOLLO","S0","LabConvTra",0,1,0,1,2,1,0,1,1,184,0.225,0.24,29,18,0.967090278,16.73567361,84.83472222,14.30883978,10.64585635,86258.55,0,552.1,0,82.62364641,5.023691313,3.7
"D3","CRIOLLO","S1","LabCeroMin",0,0,0,1,2,0,0,1,1,138,0,0,5,12,0.266354167,4.31,75.955,19.83329412,10.18152941,69610.42,0.017647059,296.86,0,80.07676471,4.27201276,3.5
"D4","CRIOLLO","S0","LabConvTra",0,1,0,1,2,1,0,1,1,138,0.225,0.24,29,18,0.967090278,16.73567361,84.83472222,14.23965517,10.65402299,83078.44,0,544.7,0,82.63114943,5.096197024,2.9
"D3","CRIOLLO","S1","LabConvTra",0,0,1,0,2,0,0,2,1,161,0,0,5,12,0.266354167,4.31,75.955,20.12368421,9.980921053,63015.33,0.019736842,272.86,0,80.39756579,4.265855348,3.5
"D4","CRIOLLO","S0","LabConvTra",0,1,0,1,2,0,0,1,1,92,0,0,16,17,0.837641723,8.636989795,70.3473167,14.29770115,10.61149425,83010.29,0,544.7,0,82.67931034,5.073583471,2.1
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,1,138,0,0,29,18,0.967090278,16.73567361,84.83472222,14.12469136,10.75555556,77374.12,0,492.6,0,82.58969136,5.170784078,2.3
"D4","CRIOLLO","S0","LabConvTra",0,1,0,1,2,0,0,1,1,138,0,0,29,18,0.967090278,16.73567361,84.83472222,14.26306818,10.67613636,84037.17,0,546,0,82.62625,5.086692063,2.4
"D2","CRIOLLO","S0","LabConvTra",1,0,0,0,1,0,0,1,0,115,0,0,44,20,1.019558155,32.35618467,91.24216594,14.51497585,10.81884058,98166.79,0,724.5,0,82.27922705,5.375858963,1.8
"D2","CRIOLLO","S0","LabConvTra",0,0,0,0,1,0,0,1,0,115,0,0,44,20,1.019558155,32.35618467,91.24216594,14.23142857,10.664,83616.01,0,544.7,0,82.60754286,5.09111839,1.8
"D4","CRIOLLO","S0","LabConvTra",0,0,0,0,1,0,0,1,0,115,0,0,36,22,4.615736459,38.17437609,89.12754397,14.47912621,10.77572816,97667.16,0,702.3,0,82.35597087,5.280153987,1.8
"D3","CRIOLLO","S0","LabConvTra",0,0,0,0,1,0,0,1,0,115,0,0,49,21,1.839676435,17.86984127,61.47150794,14.6921875,10.5640625,91042.53,0,702.3,0,82.63421875,5.298156097,1.8
"D3","CRIOLLO","S0","LabConvTra",0,0,0,0,1,0,0,1,0,115,0,0,49,21,1.839676435,17.86984127,61.47150794,14.56461538,10.61538462,92403.74,0,688.4,0,82.59030769,5.248253996,1.8
"D4","CRIOLLO","S1","LabConvTra",0,0,0,1,1,0,0,1,0,92,0,0,28,20,0.820993804,16.16617467,76.60158586,14.56791667,11.03583333,113923.73,0,788.5,0,81.52658333,6.012772667,1.5
"D4","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,1,0,92,0,0,28,20,0.820993804,16.16617467,76.60158586,14.58016194,11.08744939,117224.6,0,826.7,0,81.51246964,5.930215654,1.5
"D4","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,2,1,92,0,0,28,20,0.820993804,16.16617467,76.60158586,14.56791667,11.03583333,113923.73,0,788.5,0,81.52658333,6.012772667,1.5
"D4","CRIOLLO","S0","LabConvTra",0,0,1,1,1,0,0,1,1,92,0,0,28,20,0.820993804,16.16617467,76.60158586,14.56791667,11.03583333,113923.73,0,788.5,0,81.52658333,6.012772667,1.5
"D3","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,1,1,92,0,0,49,21,1.839676435,17.86984127,61.47150794,14.57632653,11.10367347,116233.36,0,826.7,0,81.52159184,5.95357183,1.5
"D4","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,1,1,92,0,0,28,20,0.820993804,16.16617467,76.60158586,14.57632653,11.10367347,116233.36,0,826.7,0,81.52159184,5.95357183,1.5
"D4","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,1,1,92,0,0,28,20,0.820993804,16.16617467,76.60158586,14.57632653,11.10367347,116233.36,0,826.7,0,81.52159184,5.95357183,1.5
"D4","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,1,1,92,0,0,28,20,0.820993804,16.16617467,76.60158586,14.56791667,11.03583333,113923.73,0,788.5,0,81.52658333,6.012772667,1.5
"D4","CRIOLLO","S0","LabConvTra",0,0,0,0,1,0,0,1,1,92,0,0,28,20,0.820993804,16.16617467,76.60158586,14.57632653,11.10367347,116233.36,0,826.7,0,81.52159184,5.95357183,1.5
"D2","CRIOLLO","S0","LabConvTra",1,0,0,0,1,0,0,1,0,55,23,0,44,20,1.019558155,32.35618467,91.24216594,15.28245614,10.73157895,82911.78,0,691.5,0,81.98152047,5.704320037,1.19
"D3","OTRAS","S0","LabConvTra",0,0,0,1,2,0,0,3,2,15.0675,0,0,49,21,1.839676435,17.86984127,61.47150794,14.53920705,10.84669604,107192.97,0,751.4,0,81.99361233,5.459407014,1.1
"D4","CRIOLLO","S0","AgrCons",0,0,0,1,2,0,0,1,1,115,0,0,30,26,9.0025,41.59819444,81.60180556,18.18364746,12.29415952,76321.68049,0.040609137,2780.8,0,74.1109799,9.612112462,3
"D4","CRIOLLO","S0","AgrCons",0,0,0,1,2,0,0,1,1,161,0,0,30,26,9.0025,41.59819444,81.60180556,18.07126437,12.06149425,65742.94356,0.005747126,2383.4,0,74.98867816,9.369238807,3.5
"D4","CRIOLLO","S0","AgrCons",0,0,0,1,2,0,0,1,1,138,0,0,30,26,9.0025,41.59819444,81.60180556,18.06647727,12.07670455,66423.96356,0.005681818,2416.8,0,74.95375,9.334950463,3.05
"D4","CRIOLLO","S0","AgrCons",1,0,0,1,2,0,0,1,1,161,0,0,30,26,9.0025,41.59819444,81.60180556,18.0701125,12.16098149,70165.4613,0.005405405,2547.6,0,74.74197783,9.398544018,3.51
"D4","CRIOLLO","S0","AgrCons",0,0,0,1,2,0,0,1,1,161,0,0,30,26,9.0025,41.59819444,81.60180556,18.14718206,12.28160259,75631.50744,0.030612245,2762,0,74.21430014,9.545091814,3.51
"D4","CRIOLLO","S0","AgrCons",0,0,0,1,2,0,0,1,1,161,0,0,30,26,9.0025,41.59819444,81.60180556,18.10625,12.04375,66524.26356,0.005681818,2449.8,0,75.03818182,9.331529906,3.02
"D4","CRIOLLO","S0","AgrCons",0,0,0,1,2,0,0,1,1,138,0,0,30,26,9.0025,41.59819444,81.60180556,17.98522727,12.15795455,66426.08356,0.005681818,2350.4,0,74.76357955,9.486329727,3.03
"D4","CRIOLLO","S0","LabCeroMin",0,0,0,1,1,1,0,1,1,73.3647,0.08,0.06,24,29,3.444427351,25.2968481,94.67027638,18.92734511,9.491899931,45974.88038,0.00591716,1601,0,82.91666758,4.066705631,2.5
"D4","CRIOLLO","S0","LabCeroMin",0,1,0,0,1,0,0,3,2,30.75,0,0,28,20,0.820993804,16.16617467,76.60158586,14.5545082,11.02295082,115773.28,0,775.8,0,81.44233607,5.974468989,1.2
"D3","CRIOLLO","S0","LabCeroMin",0,0,0,1,2,0,0,2,0,170.18,23.46,0,49,21,1.839676435,17.86984127,61.47150794,14.72318182,10.92090909,104761.29,0,756.6,0,81.67059091,6.110897678,1
"D2","CRIOLLO","S0","LabConvTra",0,0,0,1,2,0,0,1,1,101,23,0,44,20,1.019558155,32.35618467,91.24216594,14.96616541,10.35338346,65286.55,0,480.5,0,82.73150376,5.241106825,1.2
"D2","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,1,1,110,46,0,44,20,1.019558155,32.35618467,91.24216594,14.76914286,10.50685714,83245.19,0,681.2,0,82.90982857,5.301734424,1.3
"D2","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,1,1,94,34.5,0,44,20,1.019558155,32.35618467,91.24216594,14.78670886,10.40379747,76204.11,0,546.3,0,82.95474684,5.127921159,1.3
"D4","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,2,1,117,34.5,0,28,20,0.820993804,16.16617467,76.60158586,14.76774194,10.44064516,75078.34,0,536,0,82.86890323,5.117993287,1.25
"D2","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,2,1,105.5,34.5,0,44,20,1.019558155,32.35618467,91.24216594,14.59828571,10.36457143,83254.96,0,619.7,0,83.12811429,5.079027125,1.35
"D2","CRIOLLO","S0","LabConvTra",1,0,0,1,2,0,0,1,1,105.5,34.5,0,44,20,1.019558155,32.35618467,91.24216594,14.62268041,10.56082474,91821.81,0,688.4,0,82.62969072,5.240566843,1.3
"D2","CRIOLLO","S0","LabConvTra",0,0,0,1,2,0,0,1,1,124,23,0,44,20,1.019558155,32.35618467,91.24216594,14.75,10.51306818,83777.99,0,681.2,0,82.90386364,5.287157147,1.3
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,1,110,46,0,16,17,0.837641723,8.636989795,70.3473167,14.84416244,10.76598985,93901.76,0,725.7,0,82.24213198,5.558491438,1.5
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,138,0,0,16,17,0.837641723,8.636989795,70.3473167,14.12,10.761875,76377.34,0,492.6,0,82.628375,5.190269426,2.5
"D2","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,1,1,117,34.5,0,44,20,1.019558155,32.35618467,91.24216594,15.04408602,10.76666667,89344.84,0,720.8,0,82.02596774,5.625319054,1.3
"D2","CRIOLLO","S0","LabConvTra",1,0,0,0,2,0,0,1,1,94,34.5,0,44,20,1.019558155,32.35618467,91.24216594,14.46184971,10.43641618,82354.81,0,552.1,0,82.8350289,4.978861786,1.17
"D4","CRIOLLO","S0","LabConvTra",1,0,0,0,2,0,0,0,1,82,0,0,29,22,2.958520648,27.59935301,84.78686529,14.64814815,10.50846561,89526.18,0,688.4,0,82.68693122,5.289265032,1.2
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,138,0,0,29,22,2.958520648,27.59935301,84.78686529,14.19272727,10.66787879,79006.87,0,502.6,0,82.5970303,5.134101938,2.8
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,138,0,0,16,17,0.837641723,8.636989795,70.3473167,14.15414013,10.7044586,74897.49,0,492.6,0,82.70738854,5.188168387,2.5
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,138,0,0,16,17,0.837641723,8.636989795,70.3473167,14.1516129,10.70129032,73715.48,0,483.7,0,82.77683871,5.183061793,3
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,0,1,156,46,0,16,17,0.837641723,8.636989795,70.3473167,14.22960894,10.67765363,85463.49,0,544.7,0,82.5122905,5.111091245,2.5
"D2","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,0,0,138,0,0,44,20,1.019558155,32.35618467,91.24216594,14.138125,10.733125,76341.75,0,492.6,0,82.63325,5.187876839,3
"D2","CRIOLLO","S0","LabConvTra",0,1,0,1,1,0,0,1,1,138,0,0,44,20,1.019558155,32.35618467,91.24216594,14.18343195,10.68461538,80981.23,0,502.9,0,82.5408284,5.117217252,3
"D4","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,1,1,105.5,34.5,0,16,17,0.837641723,8.636989795,70.3473167,15.27283951,10.69506173,79239.53,0,661.1,0,81.89290123,5.80714089,1.4
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,1,106.4,36.8,0,16,17,0.837641723,8.636989795,70.3473167,15.28,10.6875,78252.18,0,661.1,0,81.9039375,5.817533798,1.5
"D2","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,0,105.5,34.5,0,44,20,1.019558155,32.35618467,91.24216594,15.27283951,10.69506173,79239.53,0,661.1,0,81.89290123,5.80714089,1.5
"D2","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,0,105.5,34.5,0,44,20,1.019558155,32.35618467,91.24216594,15.01485714,10.65828571,84243.2,0,698.5,0,82.26988571,5.544484884,1.5
"D2","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,1,105.5,34.5,0,44,20,1.019558155,32.35618467,91.24216594,15.27515528,10.70621118,78850.87,0,661.1,0,81.86838509,5.816844172,1.8
"D4","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,0,1,92,0,0,29,22,2.958520648,27.59935301,84.78686529,14.13316583,10.57839196,94430.19,0,557,0,82.26623116,5.070989819,1.3
"D4","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,1,1,92,0,0,29,22,2.958520648,27.59935301,84.78686529,14.44011299,10.48757062,84284.38,0,561.1,0,82.82225989,4.98527747,1.2
"D4","CRIOLLO","S0","LabConvTra",1,0,0,0,2,0,0,0,1,92,0,0,29,22,2.958520648,27.59935301,84.78686529,14.46610169,10.45254237,84120.2,0,569,0,82.88966102,5.030203536,1.3
"D2","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,1,1,101,23,0,44,20,1.019558155,32.35618467,91.24216594,13.670625,10.93625,74214.65,0,416,0.00625,82.4179375,5.425494801,1.3
"D2","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,1,1,93.6,27.6,0,44,20,1.019558155,32.35618467,91.24216594,14.45464481,10.47650273,86898.07,0,615.1,0,82.95054645,5.001568845,1.15
"D2","CRIOLLO","S0","LabConvTra",1,0,0,0,2,0,0,0,1,92,0,0,44,20,1.019558155,32.35618467,91.24216594,14.60218579,10.40765027,86533.26,0,682.1,0,82.97480874,5.091408929,1.25
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,138,0,0,29,18,0.967090278,16.73567361,84.83472222,14.29119497,10.52201258,75988.39,0,499.5,0,82.77830189,5.084785472,2.5
"D2","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,64,46,0,44,20,1.019558155,32.35618467,91.24216594,15.15497076,10.73216374,83122.11,0,661.1,0,81.93497076,5.703277321,1.5
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,0,110,46,0,16,17,0.837641723,8.636989795,70.3473167,15.19570552,10.60736196,79248.06,0,660,0,82.20202454,5.597004177,1.6
"D2","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,64,46,0,44,20,1.019558155,32.35618467,91.24216594,15.3172619,10.76130952,81832.99,0,691.5,0,81.78083333,6.023718232,2
"D4","CRIOLLO","S0","LabConvTra",0,2,0,0,2,0,0,2,0,165,69,0,29,22,2.958520648,27.59935301,84.78686529,14.8575,11.68875,118953.4,0,840,0,79.76291667,7.419393438,2
"D2","CRIOLLO","S0","LabCeroMin",0,0,0,1,2,0,0,1,1,55,23,0,47,22,1.649208333,33.06071875,94.03358333,14.22513661,10.62896175,87067.55,0,549.2,0,82.55344262,5.115587004,1.1
